Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
77,Roman Bürki,ch SUI,GK,Dortmund,27,1990,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9d12e142
78,Gaëtan Bussmann,fr FRA,DF,Mainz 05,27,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,278f6efc
79,Jakub B?aszczykowski,pl POL,MF,Wolfsburg,32,1985,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2b350e6b
80,Caiuby,br BRA,MFFW,Augsburg,30,1988,14,10,1006,11.2,1,1,2,1,0,0,3,0,2.2,2.2,1.0,3.2,29,31,82,0.09,0.09,0.18,0.09,0.18,0.20,0.09,0.28,0.20,0.28,Matches,c6637acf
81,Daniel Caligiuri,it ITA,DFFW,Schalke 04,30,1988,31,31,2756,30.6,7,3,10,3,4,6,9,0,6.5,1.8,5.4,7.2,107,155,141,0.23,0.10,0.33,0.10,0.20,0.21,0.18,0.39,0.06,0.24,Matches,d1273f09
82,Jan-Ingwer Callsen-Bracker,de GER,DF,Augsburg,33,1984,1,0,7,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.86,0.86,0.86,Matches,0999a593
83,Ignacio Camacho,es ESP,MF,Wolfsburg,28,1990,6,6,540,6.0,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,3,43,2,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15,Matches,8ed9b33a
84,Jonas Carls,de GER,FW,Schalke 04,21,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,2bb48e86
85,Koen Casteels,be BEL,GK,Wolfsburg,26,1992,26,26,2295,25.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,db401046
86,Gonzalo Castro,de GER,MF,Stuttgart,31,1987,25,19,1692,18.8,2,4,6,2,0,0,4,0,1.2,1.2,2.2,3.4,24,92,37,0.11,0.21,0.32,0.11,0.32,0.06,0.11,0.18,0.06,0.18,Matches,68829001
87,Timothy Chandler,us USA,DF,Eint Frankfurt,28,1990,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.47,0.00,0.47,Matches,b3b7f5a6
88,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,31,1987,16,12,997,11.1,0,1,1,0,0,0,3,0,0.5,0.5,0.3,0.8,14,57,14,0.00,0.09,0.09,0.00,0.09,0.04,0.03,0.07,0.04,0.07,Matches,ecab64a0
89,Kingsley Coman,fr FRA,FWMF,Bayern Munich,22,1996,21,17,1378,15.3,6,4,10,6,0,0,2,0,4.0,4.0,4.0,8.0,99,55,244,0.39,0.26,0.65,0.39,0.65,0.26,0.26,0.52,0.26,0.52,Matches,042e8a49
90,Sergio Córdova,ve VEN,FW,Augsburg,20,1997,20,3,531,5.9,3,0,3,3,0,0,1,0,1.0,1.0,0.2,1.2,8,11,27,0.51,0.00,0.51,0.51,0.51,0.17,0.03,0.20,0.17,0.20,Matches,229cd98a
91,Danny da Costa,de GER,DFFW,Eint Frankfurt,25,1993,34,34,3033,33.7,2,4,6,2,0,0,1,0,3.6,3.6,5.4,9.0,76,88,185,0.06,0.12,0.18,0.06,0.18,0.11,0.16,0.27,0.11,0.27,Matches,5ddb8f9f
92,Mickaël Cuisance,fr FRA,MF,M'Gladbach,18,1999,11,1,279,3.1,0,1,1,0,0,0,3,0,0.4,0.4,0.3,0.7,8,20,19,0.00,0.32,0.32,0.00,0.32,0.14,0.09,0.23,0.14,0.23,Matches,5722eced
93,Matheus Cunha,br BRA,FWMF,RB Leipzig,19,1999,25,9,853,9.5,2,0,2,2,0,0,1,0,4.2,4.2,0.7,4.9,21,30,75,0.21,0.00,0.21,0.21,0.21,0.44,0.08,0.52,0.44,0.52,Matches,dc62b55d
94,Christoph Daferner,de GER,FW,Freiburg,20,1998,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e5be34dd
95,Mahmoud Dahoud,de GER,MF,Dortmund,22,1996,14,7,697,7.7,1,0,1,1,0,0,2,0,1.2,1.2,1.0,2.2,20,53,15,0.13,0.00,0.13,0.13,0.13,0.16,0.12,0.28,0.16,0.28,Matches,db4ed67b
96,Leon Dajaku,de GER,DFMF,Stuttgart,17,2001,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,aeaf1bc1
97,Kevin Danso,at AUT,DF,Augsburg,19,1998,18,13,1247,13.9,1,1,2,1,0,0,3,0,0.5,0.5,0.2,0.7,6,36,2,0.07,0.07,0.14,0.07,0.14,0.04,0.01,0.05,0.04,0.05,Matches,6e33125f
98,Palkó Dárdai,hu HUN,FWMF,Hertha BSC,19,1999,7,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,12,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches,db7161ed
99,Vladimír Darida,cz CZE,MF,Hertha BSC,27,1990,10,3,376,4.2,0,1,1,0,0,0,1,0,1.0,1.0,0.8,1.7,7,34,12,0.00,0.24,0.24,0.00,0.24,0.23,0.18,0.42,0.23,0.42,Matches,3eb0f2df
100,Alphonso Davies,ca CAN,MFFW,Bayern Munich,17,2000,6,0,80,0.9,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,1,1,7,1.13,0.00,1.13,1.13,1.13,0.15,0.00,0.15,0.15,0.15,Matches,d781d855
101,Thomas Delaney,dk DEN,MF,Dortmund,26,1991,30,27,2283,25.4,3,5,8,3,0,0,7,0,2.4,2.4,3.2,5.6,21,126,32,0.12,0.20,0.32,0.12,0.32,0.09,0.13,0.22,0.09,0.22,Matches,fe641c1a
102,Kerem Demirbay,de GER,MF,Hoffenheim,25,1993,26,24,2017,22.4,4,9,13,4,0,0,6,0,4.5,4.5,7.4,11.8,82,181,66,0.18,0.40,0.58,0.18,0.58,0.20,0.33,0.53,0.20,0.53,Matches,54b4dc4e
103,Diego Demme,de GER,MF,RB Leipzig,26,1991,26,24,2055,22.8,0,2,2,0,0,0,4,0,0.4,0.4,2.7,3.1,52,182,38,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.14,0.02,0.14,Matches,dc3fa3b5
104,Franco Di Santo,ar ARG,MFFW,Schalke 04,29,1989,4,3,245,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,7,2,19,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.25,0.08,0.25,Matches,549c6ba7
105,Abdou Diallo,sn SEN,DF,Dortmund,22,1996,28,27,2379,26.4,1,1,2,1,0,0,1,1,1.6,1.6,0.6,2.2,46,125,62,0.04,0.04,0.08,0.04,0.08,0.06,0.02,0.08,0.06,0.08,Matches,fc62f087
106,Daniel Didavi,de GER,MFFW,Stuttgart,28,1990,20,8,956,10.6,2,2,4,2,0,0,0,0,1.9,1.9,2.7,4.6,29,45,70,0.19,0.19,0.38,0.19,0.38,0.18,0.26,0.43,0.18,0.43,Matches,d3096421
