Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
219,Alexis Flips,fr FRA,MFFW,Reims,20,2000,2,0,43,0.5,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,2.09,0.00,2.09,2.09,2.09,0.10,0.00,0.10,0.10,0.10,Matches,caef7840
220,Alessandro Florenzi,it ITA,DF,Paris S-G,29,1991,21,18,1538,17.1,2,1,3,2,0,0,1,0,2.2,2.2,2.4,4.6,27,63,148,0.12,0.06,0.18,0.12,0.18,0.13,0.14,0.27,0.13,0.27,Matches,e288d4b3
221,Mamadou Fofana,ml MLI,MFDF,Metz,22,1998,16,11,1070,11.9,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,20,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches,4c4ffacc
222,Seko Fofana,ci CIV,MF,Lens,25,1995,30,25,2309,25.7,2,3,5,2,0,0,2,0,2.9,2.9,2.3,5.3,75,120,126,0.08,0.12,0.19,0.08,0.19,0.11,0.09,0.20,0.11,0.20,Matches,5313ed43
223,Wesley Fofana,fr FRA,DF,Saint-Étienne,19,2000,4,3,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,132a82f1
224,Youssouf Fofana,fr FRA,MF,Monaco,21,1999,35,35,2873,31.9,0,3,3,0,0,0,10,1,1.5,1.5,2.4,3.9,57,187,36,0.00,0.09,0.09,0.00,0.09,0.05,0.07,0.12,0.05,0.12,Matches,822d51d7
225,Thomas Foket,be BEL,DF,Reims,25,1994,37,37,3324,36.9,0,3,3,0,0,0,4,0,0.2,0.2,1.3,1.5,90,102,149,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,Matches,90eb507d
226,Lamine Fomba,fr FRA,MF,Nîmes,22,1998,32,24,2175,24.2,1,1,2,1,0,0,8,0,2.6,2.6,1.2,3.8,19,48,23,0.04,0.04,0.08,0.04,0.08,0.11,0.05,0.16,0.11,0.16,Matches,2145368f
227,Thomas Fontaine,mg MAD,DF,Lorient,29,1991,4,4,320,3.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,9f90c06b
228,José Fonte,pt POR,DF,Lille,36,1983,36,36,3185,35.4,3,0,3,3,0,0,7,0,2.1,2.1,0.5,2.6,14,137,14,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,Matches,90f87966
