Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
196,Javier Hernández,mx MEX,FW,West Ham,30,1988,25,14,1334,14.8,7,1,8,7,0,0,2,0,6.6,6.6,1.4,8.1,10,31,83,0.47,0.07,0.54,0.47,0.54,0.45,0.10,0.54,0.45,0.54,Matches,189cee7b
197,Ander Herrera,es ESP,MF,Manchester Utd,28,1989,22,16,1403,15.6,2,3,5,2,0,0,4,0,1.3,1.3,1.6,2.9,21,93,30,0.13,0.19,0.32,0.13,0.32,0.08,0.10,0.19,0.08,0.19,Matches,436a9dd0
198,Son Heung-min,kr KOR,FWMF,Tottenham,26,1992,31,23,2039,22.7,12,6,18,12,0,0,2,1,7.5,7.5,3.6,11.1,105,81,201,0.53,0.26,0.79,0.53,0.79,0.33,0.16,0.49,0.33,0.49,Matches,92e7e919
199,Gonzalo Higuaín,ar ARG,FW,Chelsea,30,1987,14,13,1085,12.1,5,0,5,5,0,0,0,0,4.9,4.9,1.3,6.1,12,17,92,0.41,0.00,0.41,0.41,0.41,0.40,0.10,0.51,0.40,0.51,Matches,8a08491a
200,Wesley Hoedt,nl NED,DF,Southampton,24,1994,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,6,46,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,875898c7
201,Jonathan Hogg,eng ENG,MF,Huddersfield,29,1988,29,29,2367,26.3,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,10,147,34,0.00,0.04,0.04,0.00,0.04,0.01,0.03,0.04,0.01,0.04,Matches,9306d5ea
202,Junior Hoilett,ca CAN,MFFW,Cardiff City,28,1990,32,23,2141,23.8,3,1,4,3,0,0,4,0,3.4,3.4,1.5,4.9,54,39,125,0.13,0.04,0.17,0.13,0.17,0.14,0.06,0.21,0.14,0.21,Matches,33af5b9e
203,Rob Holding,eng ENG,DF,Arsenal,22,1995,10,9,807,9.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,29,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,d79a8c87
204,José Holebas,gr GRE,DF,Watford,34,1984,28,27,2393,26.6,3,6,9,3,0,0,12,1,1.0,1.0,4.1,5.1,44,77,58,0.11,0.23,0.34,0.11,0.34,0.04,0.15,0.19,0.04,0.19,Matches,12aa7661
205,Mason Holgate,eng ENG,DF,Everton,21,1996,5,4,408,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d0042ab9
206,Callum Hudson-Odoi,eng ENG,FW,Chelsea,17,2000,10,4,393,4.4,0,1,1,0,0,0,0,0,0.7,0.7,1.4,2.2,20,13,59,0.00,0.23,0.23,0.00,0.23,0.16,0.33,0.50,0.16,0.50,Matches,15f3ec41
207,Will Hughes,eng ENG,MF,Watford,23,1995,32,31,2418,26.9,2,4,6,2,0,0,5,0,2.5,2.5,2.6,5.1,50,102,134,0.07,0.15,0.22,0.07,0.22,0.09,0.10,0.19,0.09,0.19,Matches,a0666d3e
208,Emerson Hyndman,us USA,MF,Bournemouth,22,1996,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3be1a627
209,Pierre Højbjerg,dk DEN,MF,Southampton,22,1995,31,31,2760,30.7,4,3,7,4,0,0,8,2,2.6,2.6,2.4,5.0,43,204,73,0.13,0.10,0.23,0.13,0.23,0.08,0.08,0.16,0.08,0.16,Matches,8b04d6c1
210,Jordon Ibe,eng ENG,MFDF,Bournemouth,22,1995,19,9,797,8.9,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,56,28,47,0.11,0.11,0.23,0.11,0.23,0.09,0.07,0.16,0.09,0.16,Matches,9f736ed2
211,Vicente Iborra,es ESP,MF,Leicester City,30,1988,8,3,229,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,16,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,ad1ffcfd
212,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,21,1996,30,9,941,10.5,1,3,4,1,0,0,2,0,2.1,2.1,1.6,3.6,13,23,63,0.10,0.29,0.38,0.10,0.38,0.20,0.15,0.35,0.20,0.35,Matches,c92e1a31
213,Danny Ings,eng ENG,FW,Southampton,26,1992,24,23,1651,18.3,7,3,10,4,3,3,1,0,9.4,7.0,3.1,10.1,21,56,125,0.38,0.16,0.55,0.22,0.38,0.51,0.17,0.68,0.38,0.55,Matches,07802f7f
214,Alex Iwobi,ng NGA,FWMF,Arsenal,22,1996,35,22,1970,21.9,3,6,9,3,0,0,0,0,3.5,3.5,7.0,10.5,132,141,234,0.14,0.27,0.41,0.14,0.41,0.16,0.32,0.48,0.16,0.48,Matches,6ca5ec4b
215,José Izquierdo,co COL,MFFW,Brighton,26,1992,15,9,795,8.8,0,1,1,0,0,0,1,0,0.6,0.6,0.4,1.0,20,19,58,0.00,0.11,0.11,0.00,0.11,0.06,0.05,0.11,0.06,0.11,Matches,ca2bc3df
216,Phil Jagielka,eng ENG,DF,Everton,35,1982,7,4,331,3.7,1,0,1,1,0,0,0,1,0.6,0.6,0.3,0.9,0,6,0,0.27,0.00,0.27,0.27,0.27,0.16,0.07,0.24,0.16,0.24,Matches,3233eefd
217,Alireza Jahanbakhsh,ir IRN,FWMF,Brighton,24,1993,19,12,1020,11.3,0,0,0,0,0,0,2,0,0.8,0.8,0.2,1.0,14,18,56,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches,08452314
218,Daryl Janmaat,nl NED,DF,Watford,29,1989,18,17,1520,16.9,0,2,2,0,0,0,3,0,0.5,0.5,0.8,1.2,32,67,51,0.00,0.12,0.12,0.00,0.12,0.03,0.05,0.07,0.03,0.07,Matches,45da6694
